Effect,Subject,Estimate,StdErrPred,DF,tValue,Probt
Intercept,id 212172,-0.1730,1.3522,5396,-0.13,0.8982
Intercept,id 212183,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 212194,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 212207,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 212218,1.6484,0.6134,5396,2.69,0.0072
Intercept,id 212240,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 212251,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 212262,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 212273,2.9979,0.3604,5396,8.32,<.0001
Intercept,id 212284,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 212295,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 212308,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 212835,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 212925,1.7506,0.6190,5396,2.83,0.0047
Intercept,id 212936,1.6484,0.6134,5396,2.69,0.0072
Intercept,id 212947,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 212958,1.9027,0.6274,5396,3.03,0.0024
Intercept,id 213487,2.2229,0.4812,5396,4.62,<.0001
Intercept,id 213588,2.9979,0.3604,5396,8.32,<.0001
Intercept,id 213689,2.3091,0.6522,5396,3.54,0.0004
Intercept,id 213746,2.2466,0.8448,5396,2.66,0.0079
Intercept,id 213814,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 213847,3.0392,0.3843,5396,7.91,<.0001
Intercept,id 213869,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 213915,2.3335,0.4842,5396,4.82,<.0001
Intercept,id 213926,0.7350,0.9452,5396,0.78,0.4368
Intercept,id 214264,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 214365,0.7923,0.9567,5396,0.83,0.4076
Intercept,id 214534,2.6014,0.4071,5396,6.39,<.0001
Intercept,id 214714,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 215008,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 215030,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 215120,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 215153,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 215243,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 215298,1.5119,0.7572,5396,2.00,0.0459
Intercept,id 215434,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 215478,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 215502,-0.3203,1.2746,5396,-0.25,0.8016
Intercept,id 215636,1.4391,0.7499,5396,1.92,0.0550
Intercept,id 215691,1.0145,1.0056,5396,1.01,0.3131
Intercept,id 216031,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 216075,0.7350,0.9452,5396,0.78,0.4368
Intercept,id 216097,2.2386,0.5461,5396,4.10,<.0001
Intercept,id 216176,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 216187,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 216198,1.9834,0.6321,5396,3.14,0.0017
Intercept,id 216200,-0.3028,1.2832,5396,-0.24,0.8135
Intercept,id 216211,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 216222,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 30,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 300014,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 300036,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 300058,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 300069,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 300115,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 300126,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 300159,2.7100,0.4451,5396,6.09,<.0001
Intercept,id 300170,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 300181,2.2051,0.4359,5396,5.06,<.0001
Intercept,id 300238,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 300249,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 300260,-0.1804,1.3480,5396,-0.13,0.8935
Intercept,id 300282,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 300293,-0.3028,1.2832,5396,-0.24,0.8135
Intercept,id 300317,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 300328,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 300361,1.0222,0.7124,5396,1.44,0.1513
